feature,importance
ALDH6A1,0.0019111300731600696
CCNB2,0.0019076106193372622
LTBP4,0.0019052388716239053
APOC1,0.001888605779472627
FCAMR,0.0018733177759965496
ISX,0.0018653470576507347
UGT2B17,0.0018612041807996706
RAB26,0.0018469060868286584
FGFR3,0.0018446558658454003
HJV,0.0018446506842535707
SNAI2,0.0018431259038028153
IFITM2,0.0018422643985660275
LUM,0.0018387295428483864
HTRA3,0.0018330372591677645
ELMO3,0.0018321360441973026
ISYNA1,0.0018251692901923835
PAFAH1B3,0.001817340643339021
NPL,0.0018107053298500077
MT1E,0.0018017187764792224
HLA-B,0.001790027558006607
BSPRY,0.0017819446281067465
SLC47A1,0.001780395368965864
ALDH1B1,0.0017759940982749701
STEAP2,0.00176486301474018
CCNB1,0.001763962743982603
MT1G,0.0017514780224131357
RAB34,0.0017482857598754614
PROC,0.0017158152919286682
TMC4,0.0016754827442576788
CDT1,0.0016739492251508776
KLF5,0.001663044425478835
AGPAT2,0.0016585441556380969
CLDN5,0.001643160909403175
MASP2,0.0016266508268279263
COL6A2,0.0016035135058251996
PIPOX,0.0015945021650097086
IGF2BP1,0.001592133096465744
GREM2,0.001592036298887816
COL1A2,0.0015888750228029605
IL17RB,0.0015868128996007495
NPM2,0.001586273506132835
H2AC11,0.0015817946907083437
MGST1,0.001578304287492889
SMIM24,0.0015780380028570739
APOA4,0.0015601512087093804
SELENOW,0.0015465328643313873
DDIT4,0.001542491154329749
PDGFA,0.0015416339375404465
NGFR,0.001529212393536927
CYP3A4,0.001516858800642145
F2,0.001512408677728883
SOD3,0.0015119564748685768
GADD45G,0.0015063330590543809
PEMT,0.0014962780722724376
IL27,0.001483470005034843
RAMP1,0.0014807429782451049
SOAT2,0.0014619945478145933
BCL2L10,0.0014535036344440462
CD7,0.0014527007903462413
MLXIPL,0.0014524035707529786
CEBPD,0.0014481214814194843
C1R,0.00144254804786401
LAMC3,0.0014397232080526029
F12,0.00143619480665932
C3,0.0014317270204743764
GPNMB,0.0014235189234453785
GSTA1,0.0014219578965301537
ZNF503,0.0014219154812529341
CPN2,0.0014166556836566816
SKAP1,0.0014156236759450642
METTL7B,0.0014142430183499521
SLCO1B3,0.0014094470920325564
ADRB2,0.0014007240803716448
PRAP1,0.0014002206609933922
BLMH,0.0013975442891045278
SULT1A1,0.0013972899575061236
PLAAT2,0.0013868798651200849
SCAMP5,0.0013800108134409221
AMACR,0.0013710051389538077
ELF3,0.0013624879762822012
SERPINA10,0.0013588977398285172
ATF5,0.0013588409412627987
INHBE,0.0013547350093435332
MMP11,0.0013519170946216293
MT1F,0.0013470300374169102
CFI,0.0013407781776271818
PRSS8,0.001338568223572175
ITIH3,0.0013305031244572095
ATP5ME,0.0013225788867768306
AKR1B15,0.0013139690464371294
